Ref,Val,Package,PosX,PosY,Rot,Side
"TVS12","48V","SMF48A",39.101199,-111.912400,180.000000,bottom
"TVS13","48V","SMF48A",39.065200,-106.273600,180.000000,bottom
"TVS14","48V","SMF48A",39.101199,-109.095699,180.000000,bottom
"TVS15","48V","SMF48A",56.032400,-103.479600,0.000000,bottom
"TVS16","48V","SMF48A",55.981600,-97.891600,0.000000,bottom
"TVS17","48V","SMF48A",56.032400,-100.685600,0.000000,bottom
"TVS18","48V","SMF48A",71.831200,-100.228400,90.000000,bottom
"TVS19","48V","SMF48A",72.644000,-106.883200,0.000000,bottom
"TVS20","48V","SMF48A",72.644000,-104.089200,0.000000,bottom
"TVS21","48V","SMF48A",44.856400,-103.479600,180.000000,bottom
"TVS22","48V","SMF48A",44.907200,-97.891600,180.000000,bottom
"TVS23","48V","SMF48A",44.856400,-100.685600,180.000000,bottom
"TVS24","48V","SMF48A",50.901600,-103.479600,180.000000,bottom
"TVS25","48V","SMF48A",50.850800,-97.891600,180.000000,bottom
"TVS26","48V","SMF48A",50.901600,-100.685600,180.000000,bottom
"U3","SI7421DN-T1-E3","SI7421DN-T1-E3",62.280800,-121.259600,0.000000,bottom
"U4","SI7421DN-T1-E3","SI7421DN-T1-E3",62.280800,-125.120400,0.000000,bottom
"U6","SI7421DN-T1-E3","SI7421DN-T1-E3",66.802000,-121.259600,180.000000,bottom
"U7","SI7421DN-T1-E3","SI7421DN-T1-E3",66.802000,-125.095000,180.000000,bottom
"U8","SI7421DN-T1-E3","SI7421DN-T1-E3",44.348400,-121.691400,0.000000,bottom
"U9","SI7421DN-T1-E3","SI7421DN-T1-E3",44.373800,-125.501400,0.000000,bottom
"U11","SI7421DN-T1-E3","SI7421DN-T1-E3",48.615600,-121.691400,180.000000,bottom
"U12","SI7421DN-T1-E3","SI7421DN-T1-E3",48.615600,-125.501400,180.000000,bottom
"U13","SI7421DN-T1-E3","SI7421DN-T1-E3",68.021200,-92.303600,180.000000,bottom
"U14","SI7421DN-T1-E3","SI7421DN-T1-E3",68.021200,-88.493600,180.000000,bottom
"U16","SI7421DN-T1-E3","SI7421DN-T1-E3",63.804800,-92.303600,0.000000,bottom
"U17","SI7421DN-T1-E3","SI7421DN-T1-E3",63.804800,-88.493600,0.000000,bottom
"U18","SI7421DN-T1-E3","SI7421DN-T1-E3",47.701200,-92.405200,180.000000,bottom
"U19","SI7421DN-T1-E3","SI7421DN-T1-E3",47.701200,-88.595200,180.000000,bottom
"U21","SI7421DN-T1-E3","SI7421DN-T1-E3",43.484800,-92.405200,0.000000,bottom
"U22","SI7421DN-T1-E3","SI7421DN-T1-E3",43.484800,-88.595200,0.000000,bottom
